snr,file,method,si_snr,mpe,wmpe,mae_deg,plv,p15,p30,pesq
0,0.wav,Noisy,-0.02841719426214695,0.24996690452098846,0.10469357669353485,26.7557315826416,0.7500368356704712,0.6480069174232599,0.7444242686266033,nan
0,0.wav,Mag-only CNN (CRN),7.961061477661133,0.31522446870803833,0.08738294243812561,33.72697448730469,0.684779167175293,0.5424816255944661,0.6706038334053899,nan
0,0.wav,Complex CNN (DCUNET),10.856683731079102,0.22360751032829285,0.06430327147245407,24.906911849975586,0.7763948440551758,0.6556910217610606,0.7615910073497623,nan
0,0.wav,DCCRN,8.589492797851562,1.747412085533142,1.9096227884292603,152.53517150878906,0.7474122643470764,0.017408848537253205,0.03382619974059663,nan
5,0.wav,Noisy,4.970870494842529,0.195907324552536,0.0660000592470169,21.513952255249023,0.8040962219238281,0.7128577604842197,0.7960685977806601,nan
5,0.wav,Mag-only CNN (CRN),11.90604305267334,0.2614135146141052,0.05473417416214943,28.816682815551758,0.7385903596878052,0.6007782101167315,0.7211759619541721,nan
5,0.wav,Complex CNN (DCUNET),14.864410400390625,0.17237795889377594,0.03887082263827324,19.917259216308594,0.8276237845420837,0.7197521256665226,0.8111543450064851,nan
5,0.wav,DCCRN,12.739154815673828,1.8012735843658447,1.9449700117111206,157.78456115722656,0.8012738823890686,0.013027813806023922,0.025675169332756882,nan
10,0.wav,Noisy,9.970538139343262,0.15096528828144073,0.04031825065612793,17.060394287109375,0.8490376472473145,0.7697823893932844,0.8397521256665226,nan
10,0.wav,Mag-only CNN (CRN),14.965730667114258,0.22266307473182678,0.03508760407567024,25.28795051574707,0.7773397564888,0.6412163135898544,0.7572272661766826,nan
10,0.wav,Complex CNN (DCUNET),18.4361572265625,0.1307186335325241,0.024154767394065857,15.754951477050781,0.8692825436592102,0.7747571696209828,0.8526761781236489,nan
10,0.wav,DCCRN,16.501144409179688,1.8457335233688354,1.965702772140503,162.22085571289062,0.8457356691360474,0.009966854013546621,0.01938607868568958,nan
15,0.wav,Noisy,14.970270156860352,0.11308743059635162,0.02414587512612343,13.246112823486328,0.8869143724441528,0.818636691165874,0.8763971753855022,nan
15,0.wav,Mag-only CNN (CRN),17.151973724365234,0.19403713941574097,0.022817401215434074,22.717281341552734,0.8059634566307068,0.6692664649084883,0.782245280299755,nan
15,0.wav,Complex CNN (DCUNET),21.62010383605957,0.09818210452795029,0.015478143468499184,12.42348575592041,0.9018188714981079,0.8205447470817121,0.8863697939184321,nan
15,0.wav,DCCRN,20.109466552734375,1.8830788135528564,1.978392243385315,166.00640869140625,0.8830816149711609,0.00711341691886439,0.014117307969448047,nan
20,0.wav,Noisy,19.970163345336914,0.08145969361066818,0.014079400338232517,10.04063892364502,0.9185414910316467,0.8595532497478022,0.9081193255512322,nan
20,0.wav,Mag-only CNN (CRN),19.189899444580078,0.1742812693119049,0.015390651300549507,20.897653579711914,0.825718879699707,0.6911024643320364,0.8010087908920593,nan
20,0.wav,Complex CNN (DCUNET),24.630783081054688,0.07176615297794342,0.00983871053904295,9.686599731445312,0.9282353520393372,0.8579507133592736,0.9139241965701109,nan
20,0.wav,DCCRN,23.449581146240234,1.9134172201156616,1.986651062965393,169.10610961914062,0.913420557975769,0.004813373684969016,0.009649805447470816,nan
